onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
30.762	n/a	15381	seqLearning_start	91	n/a	n/a	8
37.034	n/a	18517	learningBlock_1	31	n/a	n/a	8
37.072	n/a	18536	dot_no1_ON	11	n/a	n/a	8
37.66	n/a	18830	dot_no1_OFF	21	n/a	n/a	8
38.978	n/a	19489	dot_no6_ON	16	n/a	n/a	8
39.568	n/a	19784	dot_no6_OFF	26	n/a	n/a	8
40.888	n/a	20444	dot_no4_ON	14	n/a	n/a	8
41.468	n/a	20734	dot_no4_OFF	24	n/a	n/a	8
42.788	n/a	21394	dot_no2_ON	12	n/a	n/a	8
43.368	n/a	21684	dot_no2_OFF	22	n/a	n/a	8
44.688	n/a	22344	dot_no7_ON	17	n/a	n/a	8
45.268	n/a	22634	dot_no7_OFF	27	n/a	n/a	8
46.588	n/a	23294	dot_no3_ON	13	n/a	n/a	8
47.168	n/a	23584	dot_no3_OFF	23	n/a	n/a	8
48.488	n/a	24244	dot_no8_ON	18	n/a	n/a	8
49.068	n/a	24534	dot_no8_OFF	28	n/a	n/a	8
50.39	n/a	25195	dot_no5_ON	15	n/a	n/a	8
50.978	n/a	25489	dot_no5_OFF	25	n/a	n/a	8
52.3	n/a	26150	dot_no2_ON	12	n/a	n/a	8
52.878	n/a	26439	dot_no2_OFF	22	n/a	n/a	8
54.2	n/a	27100	dot_no7_ON	17	n/a	n/a	8
54.778	n/a	27389	dot_no7_OFF	27	2-6-8-4-7-3-5-7-1-1	1-6-4-2-7-3-8-5-2-7	8
76.26	n/a	38130	learningBlock_2	32	n/a	n/a	8
76.27	n/a	38135	dot_no1_ON	11	n/a	n/a	8
76.86	n/a	38430	dot_no1_OFF	21	n/a	n/a	8
78.18	n/a	39090	dot_no6_ON	16	n/a	n/a	8
78.77	n/a	39385	dot_no6_OFF	26	n/a	n/a	8
80.09	n/a	40045	dot_no4_ON	14	n/a	n/a	8
80.68	n/a	40340	dot_no4_OFF	24	n/a	n/a	8
82	n/a	41000	dot_no2_ON	12	n/a	n/a	8
82.58	n/a	41290	dot_no2_OFF	22	n/a	n/a	8
83.9	n/a	41950	dot_no7_ON	17	n/a	n/a	8
84.48	n/a	42240	dot_no7_OFF	27	n/a	n/a	8
85.8	n/a	42900	dot_no3_ON	13	n/a	n/a	8
86.38	n/a	43190	dot_no3_OFF	23	n/a	n/a	8
