onset	duration	sample	value	event_code
0	n/a	0	resting_start	90
410.336	n/a	205168	resting_start	90
459.526	n/a	229763	instructed_toOpenEyes	20
479.526	n/a	239763	instructed_toCloseEyes	30
519.518	n/a	259759	instructed_toOpenEyes	20
539.518	n/a	269759	instructed_toCloseEyes	30
579.52	n/a	289760	instructed_toOpenEyes	20
599.52	n/a	299760	instructed_toCloseEyes	30
639.522	n/a	319761	instructed_toOpenEyes	20
659.522	n/a	329761	instructed_toCloseEyes	30
699.524	n/a	349762	instructed_toOpenEyes	20
719.524	n/a	359762	instructed_toCloseEyes	30
759.526	n/a	379763	instructed_toOpenEyes	20
764.087	n/a	382043.5	boundary	boundary
