onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
32.334	n/a	16167	seqLearning_start	91	n/a	n/a	8
38.604	n/a	19302	learningBlock_1	31	n/a	n/a	8
38.62	n/a	19310	dot_no1_ON	11	n/a	n/a	8
39.208	n/a	19604	dot_no1_OFF	21	n/a	n/a	8
40.528	n/a	20264	dot_no6_ON	16	n/a	n/a	8
41.108	n/a	20554	dot_no6_OFF	26	n/a	n/a	8
42.428	n/a	21214	dot_no4_ON	14	n/a	n/a	8
43.008	n/a	21504	dot_no4_OFF	24	n/a	n/a	8
44.33	n/a	22165	dot_no2_ON	12	n/a	n/a	8
44.918	n/a	22459	dot_no2_OFF	22	n/a	n/a	8
46.238	n/a	23119	dot_no7_ON	17	n/a	n/a	8
46.818	n/a	23409	dot_no7_OFF	27	n/a	n/a	8
48.138	n/a	24069	dot_no3_ON	13	n/a	n/a	8
48.718	n/a	24359	dot_no3_OFF	23	n/a	n/a	8
50.04	n/a	25020	dot_no8_ON	18	n/a	n/a	8
50.628	n/a	25314	dot_no8_OFF	28	n/a	n/a	8
51.948	n/a	25974	dot_no5_ON	15	n/a	n/a	8
52.528	n/a	26264	dot_no5_OFF	25	n/a	n/a	8
53.85	n/a	26925	dot_no2_ON	12	n/a	n/a	8
54.428	n/a	27214	dot_no2_OFF	22	n/a	n/a	8
55.748	n/a	27874	dot_no7_ON	17	n/a	n/a	8
56.328	n/a	28164	dot_no7_OFF	27	1-6-4-2-7-3-8-5-1-6	1-6-4-2-7-3-8-5-2-7	8
92.582	n/a	46291	learningBlock_2	32	n/a	n/a	8
92.59	n/a	46295	dot_no1_ON	11	n/a	n/a	8
93.17	n/a	46585	dot_no1_OFF	21	n/a	n/a	8
94.49	n/a	47245	dot_no6_ON	16	n/a	n/a	8
95.07	n/a	47535	dot_no6_OFF	26	n/a	n/a	8
96.39	n/a	48195	dot_no4_ON	14	n/a	n/a	8
