name	type	units
E1	EEG	uV
E2	EEG	uV
E3	EEG	uV
E4	EEG	uV
E5	EEG	uV
E6	EEG	uV
E7	EEG	uV
E8	EEG	uV
E9	EEG	uV
E10	EEG	uV
E11	EEG	uV
E12	EEG	uV
E13	EEG	uV
E14	EEG	uV
E15	EEG	uV
E16	EEG	uV
E17	EEG	uV
E18	EEG	uV
E19	EEG	uV
E20	EEG	uV
E21	EEG	uV
E22	EEG	uV
E23	EEG	uV
E24	EEG	uV
E25	EEG	uV
E26	EEG	uV
E27	EEG	uV
E28	EEG	uV
E29	EEG	uV
E30	EEG	uV
E31	EEG	uV
E32	EEG	uV
E33	EEG	uV
E34	EEG	uV
E35	EEG	uV
E36	EEG	uV
E37	EEG	uV
E38	EEG	uV
E39	EEG	uV
E40	EEG	uV
E41	EEG	uV
E42	EEG	uV
E43	EEG	uV
E44	EEG	uV
E45	EEG	uV
E46	EEG	uV
E47	EEG	uV
E48	EEG	uV
E49	EEG	uV
E50	EEG	uV
E51	EEG	uV
E52	EEG	uV
E53	EEG	uV
E54	EEG	uV
E55	EEG	uV
E56	EEG	uV
E57	EEG	uV
E58	EEG	uV
E59	EEG	uV
E60	EEG	uV
E61	EEG	uV
E62	EEG	uV
E63	EEG	uV
E64	EEG	uV
E65	EEG	uV
E66	EEG	uV
E67	EEG	uV
E68	EEG	uV
E69	EEG	uV
E70	EEG	uV
E71	EEG	uV
E72	EEG	uV
E73	EEG	uV
E74	EEG	uV
E75	EEG	uV
E76	EEG	uV
E77	EEG	uV
E78	EEG	uV
E79	EEG	uV
E80	EEG	uV
E81	EEG	uV
E82	EEG	uV
E83	EEG	uV
E84	EEG	uV
E85	EEG	uV
E86	EEG	uV
E87	EEG	uV
E88	EEG	uV
E89	EEG	uV
E90	EEG	uV
E91	EEG	uV
E92	EEG	uV
E93	EEG	uV
E94	EEG	uV
E95	EEG	uV
E96	EEG	uV
E97	EEG	uV
E98	EEG	uV
E99	EEG	uV
E100	EEG	uV
E101	EEG	uV
E102	EEG	uV
E103	EEG	uV
E104	EEG	uV
E105	EEG	uV
E106	EEG	uV
E107	EEG	uV
E108	EEG	uV
E109	EEG	uV
E110	EEG	uV
E111	EEG	uV
E112	EEG	uV
E113	EEG	uV
E114	EEG	uV
E115	EEG	uV
E116	EEG	uV
E117	EEG	uV
E118	EEG	uV
E119	EEG	uV
E120	EEG	uV
E121	EEG	uV
E122	EEG	uV
E123	EEG	uV
E124	EEG	uV
E125	EEG	uV
E126	EEG	uV
E127	EEG	uV
E128	EEG	uV
Cz	EEG	uV
